alg,arr_size,arr_type,time
bubble,1000,random,0.03805107999869506
bubble,1000,sorted,0.03602996999688912
bubble,1000,almost,0.03632228200149257
bubble_with_swaps,1000,random,7.962300151120871e-05
bubble_with_swaps,1000,sorted,7.39719980629161e-05
bubble_with_swaps,1000,almost,7.652700151083991e-05
insertion,1000,random,0.0001414440012013074
insertion,1000,sorted,0.0001357609980914276
insertion,1000,almost,0.0001375050014758017
selection,1000,random,0.029307762000826187
selection,1000,sorted,0.029345849001401803
selection,1000,almost,0.02934302299763658
mergesort,1000,random,0.0016563069984840695
mergesort,1000,sorted,0.0016635049978503957
mergesort,1000,almost,0.0017246739989786875
bubble,10000,random,4.894340843002283
bubble,10000,sorted,4.316172727001685
bubble,10000,almost,4.411719340998388
bubble_with_swaps,10000,random,0.0009737219988892321
bubble_with_swaps,10000,sorted,0.0008626330018159933
bubble_with_swaps,10000,almost,0.000884458000655286
insertion,10000,random,0.0016776160009612795
insertion,10000,sorted,0.0015761430004204158
insertion,10000,almost,0.0015972430010151584
selection,10000,random,3.4330904220005323
selection,10000,sorted,3.2146961510006804
selection,10000,almost,3.250444138997409
mergesort,10000,random,0.02167628100141883
mergesort,10000,sorted,0.021493365999049274
mergesort,10000,almost,0.02157535899823415
bubble,100000,random,504.0723660809999
bubble,100000,sorted,411.59889031900093
bubble,100000,almost,412.98053133899884
bubble_with_swaps,100000,random,0.009224343997630058
bubble_with_swaps,100000,sorted,0.007896167000581045
bubble_with_swaps,100000,almost,0.008047080998949241
insertion,100000,random,0.015916549000394298
insertion,100000,sorted,0.014769561999855796
insertion,100000,almost,0.015003640000941232
selection,100000,random,345.659118491003
selection,100000,sorted,292.78312278999874
selection,100000,almost,298.52365691900195
mergesort,100000,random,0.25439157000073465
mergesort,100000,sorted,0.24416378800015082
mergesort,100000,almost,0.24574946199936676
